"SA3_CODE16","sex","age_group","student_grade_level","calendar_year","domain","naplan_score_acara","state_avg_naplan_score_acara"
10102,"all","8-9","Year 3",2008,"Spelling",403.5,414.41
10102,"all","8-9","Year 3",2009,"Spelling",412.3,419.13
10102,"all","8-9","Year 3",2010,"Spelling",402.6,409.01
10102,"all","8-9","Year 3",2011,"Spelling",394.4,415.98
10102,"all","8-9","Year 3",2012,"Spelling",405.4,422.1
10102,"all","8-9","Year 3",2013,"Spelling",403.5,416.72
10102,"all","8-9","Year 3",2014,"Spelling",396.5,417.6
10102,"all","8-9","Year 3",2015,"Spelling",395.9,412.3
10102,"all","8-9","Year 3",2016,"Spelling",403.1,423.79
10102,"all","8-9","Year 3",2017,"Spelling",396,419.2
10102,"all","8-9","Year 3",2018,"Spelling",395.2,420.08
10102,"all","8-9","Year 3",2019,"Spelling",392,420.44
10102,"all","8-9","Year 3",2021,"Spelling",393.2,424.91
10103,"all","8-9","Year 3",2008,"Spelling",392.5,414.41
10103,"all","8-9","Year 3",2009,"Spelling",399.5,419.13
10103,"all","8-9","Year 3",2010,"Spelling",390.7,409.01
10103,"all","8-9","Year 3",2011,"Spelling",398.7,415.98
10103,"all","8-9","Year 3",2012,"Spelling",397.3,422.1
10103,"all","8-9","Year 3",2013,"Spelling",393.6,416.72
10103,"all","8-9","Year 3",2014,"Spelling",389.4,417.6
10103,"all","8-9","Year 3",2015,"Spelling",380.8,412.3
10103,"all","8-9","Year 3",2016,"Spelling",393.5,423.79
10103,"all","8-9","Year 3",2017,"Spelling",391.6,419.2
10103,"all","8-9","Year 3",2018,"Spelling",388.9,420.08
10103,"all","8-9","Year 3",2019,"Spelling",386.2,420.44
10103,"all","8-9","Year 3",2021,"Spelling",378.8,424.91
10104,"all","8-9","Year 3",2008,"Spelling",392.9,414.41
10104,"all","8-9","Year 3",2009,"Spelling",393.7,419.13
10104,"all","8-9","Year 3",2010,"Spelling",387.8,409.01
10104,"all","8-9","Year 3",2011,"Spelling",388.8,415.98
10104,"all","8-9","Year 3",2012,"Spelling",397.4,422.1
10104,"all","8-9","Year 3",2013,"Spelling",390.6,416.72
10104,"all","8-9","Year 3",2014,"Spelling",389.3,417.6
10104,"all","8-9","Year 3",2015,"Spelling",392.2,412.3
10104,"all","8-9","Year 3",2016,"Spelling",396,423.79
10104,"all","8-9","Year 3",2017,"Spelling",389.3,419.2
10104,"all","8-9","Year 3",2018,"Spelling",392.8,420.08
10104,"all","8-9","Year 3",2019,"Spelling",390.9,420.44
10104,"all","8-9","Year 3",2021,"Spelling",393.4,424.91
10105,"all","8-9","Year 3",2008,"Spelling",384.7,414.41
10105,"all","8-9","Year 3",2009,"Spelling",394.9,419.13
10105,"all","8-9","Year 3",2010,"Spelling",380.8,409.01
10105,"all","8-9","Year 3",2011,"Spelling",392.3,415.98
10105,"all","8-9","Year 3",2012,"Spelling",387.4,422.1
10105,"all","8-9","Year 3",2013,"Spelling",391.2,416.72
10105,"all","8-9","Year 3",2014,"Spelling",392.3,417.6
10105,"all","8-9","Year 3",2015,"Spelling",376.8,412.3
10105,"all","8-9","Year 3",2016,"Spelling",381.5,423.79
10105,"all","8-9","Year 3",2017,"Spelling",376.9,419.2
10105,"all","8-9","Year 3",2018,"Spelling",374.7,420.08
10105,"all","8-9","Year 3",2019,"Spelling",383.1,420.44
10105,"all","8-9","Year 3",2021,"Spelling",388.5,424.91
10106,"all","8-9","Year 3",2008,"Spelling",398.5,414.41
10106,"all","8-9","Year 3",2009,"Spelling",394.6,419.13
10106,"all","8-9","Year 3",2010,"Spelling",393.3,409.01
10106,"all","8-9","Year 3",2011,"Spelling",403.5,415.98
10106,"all","8-9","Year 3",2012,"Spelling",402.8,422.1
10106,"all","8-9","Year 3",2013,"Spelling",389.1,416.72
10106,"all","8-9","Year 3",2014,"Spelling",400.9,417.6
10106,"all","8-9","Year 3",2015,"Spelling",398.7,412.3
10106,"all","8-9","Year 3",2016,"Spelling",395.7,423.79
10106,"all","8-9","Year 3",2017,"Spelling",400,419.2
10106,"all","8-9","Year 3",2018,"Spelling",392.2,420.08
10106,"all","8-9","Year 3",2019,"Spelling",388.1,420.44
10106,"all","8-9","Year 3",2021,"Spelling",394.3,424.91
10201,"all","8-9","Year 3",2008,"Spelling",415.6,414.41
10201,"all","8-9","Year 3",2009,"Spelling",419.3,419.13
10201,"all","8-9","Year 3",2010,"Spelling",409.8,409.01
10201,"all","8-9","Year 3",2011,"Spelling",414.7,415.98
10201,"all","8-9","Year 3",2012,"Spelling",423.7,422.1
10201,"all","8-9","Year 3",2013,"Spelling",420.2,416.72
10201,"all","8-9","Year 3",2014,"Spelling",416.8,417.6
10201,"all","8-9","Year 3",2015,"Spelling",409.4,412.3
10201,"all","8-9","Year 3",2016,"Spelling",420.7,423.79
10201,"all","8-9","Year 3",2017,"Spelling",417.7,419.2
10201,"all","8-9","Year 3",2018,"Spelling",419.9,420.08
10201,"all","8-9","Year 3",2019,"Spelling",423.6,420.44
10201,"all","8-9","Year 3",2021,"Spelling",431.1,424.91
10202,"all","8-9","Year 3",2008,"Spelling",402,414.41
10202,"all","8-9","Year 3",2009,"Spelling",405.2,419.13
10202,"all","8-9","Year 3",2010,"Spelling",399.4,409.01
10202,"all","8-9","Year 3",2011,"Spelling",403.5,415.98
10202,"all","8-9","Year 3",2012,"Spelling",412,422.1
10202,"all","8-9","Year 3",2013,"Spelling",405,416.72
10202,"all","8-9","Year 3",2014,"Spelling",407,417.6
10202,"all","8-9","Year 3",2015,"Spelling",399.5,412.3
10202,"all","8-9","Year 3",2016,"Spelling",405.5,423.79
10202,"all","8-9","Year 3",2017,"Spelling",401.9,419.2
10202,"all","8-9","Year 3",2018,"Spelling",405.4,420.08
10202,"all","8-9","Year 3",2019,"Spelling",410.2,420.44
10202,"all","8-9","Year 3",2021,"Spelling",401.6,424.91
10301,"all","8-9","Year 3",2008,"Spelling",395.6,414.41
10301,"all","8-9","Year 3",2009,"Spelling",410.2,419.13
10301,"all","8-9","Year 3",2010,"Spelling",398.9,409.01
10301,"all","8-9","Year 3",2011,"Spelling",408.1,415.98
10301,"all","8-9","Year 3",2012,"Spelling",416,422.1
10301,"all","8-9","Year 3",2013,"Spelling",399.6,416.72
10301,"all","8-9","Year 3",2014,"Spelling",399.3,417.6
10301,"all","8-9","Year 3",2015,"Spelling",397,412.3
10301,"all","8-9","Year 3",2016,"Spelling",408.5,423.79
10301,"all","8-9","Year 3",2017,"Spelling",409.8,419.2
10301,"all","8-9","Year 3",2018,"Spelling",408.3,420.08
10301,"all","8-9","Year 3",2019,"Spelling",405.1,420.44
10301,"all","8-9","Year 3",2021,"Spelling",410.3,424.91
10302,"all","8-9","Year 3",2008,"Spelling",391.5,414.41
10302,"all","8-9","Year 3",2009,"Spelling",395.5,419.13
10302,"all","8-9","Year 3",2010,"Spelling",375.4,409.01
10302,"all","8-9","Year 3",2011,"Spelling",390.6,415.98
10302,"all","8-9","Year 3",2012,"Spelling",388.3,422.1
10302,"all","8-9","Year 3",2013,"Spelling",389,416.72
10302,"all","8-9","Year 3",2014,"Spelling",382,417.6
10302,"all","8-9","Year 3",2015,"Spelling",389.4,412.3
10302,"all","8-9","Year 3",2016,"Spelling",393,423.79
10302,"all","8-9","Year 3",2017,"Spelling",389,419.2
10302,"all","8-9","Year 3",2018,"Spelling",388.7,420.08
10302,"all","8-9","Year 3",2019,"Spelling",390.3,420.44
10302,"all","8-9","Year 3",2021,"Spelling",394.5,424.91
10303,"all","8-9","Year 3",2008,"Spelling",390.6,414.41
10303,"all","8-9","Year 3",2009,"Spelling",396.4,419.13
10303,"all","8-9","Year 3",2010,"Spelling",379.8,409.01
10303,"all","8-9","Year 3",2011,"Spelling",395.5,415.98
10303,"all","8-9","Year 3",2012,"Spelling",387.7,422.1
10303,"all","8-9","Year 3",2013,"Spelling",399,416.72
10303,"all","8-9","Year 3",2014,"Spelling",395.7,417.6
10303,"all","8-9","Year 3",2015,"Spelling",386.7,412.3
10303,"all","8-9","Year 3",2016,"Spelling",395.9,423.79
10303,"all","8-9","Year 3",2017,"Spelling",391.9,419.2
10303,"all","8-9","Year 3",2018,"Spelling",397.2,420.08
10303,"all","8-9","Year 3",2019,"Spelling",386.1,420.44
10303,"all","8-9","Year 3",2021,"Spelling",396.4,424.91
10304,"all","8-9","Year 3",2008,"Spelling",399.9,414.41
10304,"all","8-9","Year 3",2009,"Spelling",404,419.13
10304,"all","8-9","Year 3",2010,"Spelling",402,409.01
10304,"all","8-9","Year 3",2011,"Spelling",411.9,415.98
10304,"all","8-9","Year 3",2012,"Spelling",411.8,422.1
10304,"all","8-9","Year 3",2013,"Spelling",407.4,416.72
10304,"all","8-9","Year 3",2014,"Spelling",407.3,417.6
10304,"all","8-9","Year 3",2015,"Spelling",403.9,412.3
10304,"all","8-9","Year 3",2016,"Spelling",408.8,423.79
10304,"all","8-9","Year 3",2017,"Spelling",407.7,419.2
10304,"all","8-9","Year 3",2018,"Spelling",413.7,420.08
10304,"all","8-9","Year 3",2019,"Spelling",407.5,420.44
10304,"all","8-9","Year 3",2021,"Spelling",415.6,424.91
10401,"all","8-9","Year 3",2008,"Spelling",387.5,414.41
10401,"all","8-9","Year 3",2009,"Spelling",398.8,419.13
10401,"all","8-9","Year 3",2010,"Spelling",386.9,409.01
10401,"all","8-9","Year 3",2011,"Spelling",394.7,415.98
10401,"all","8-9","Year 3",2012,"Spelling",392.2,422.1
10401,"all","8-9","Year 3",2013,"Spelling",396.9,416.72
10401,"all","8-9","Year 3",2014,"Spelling",396.4,417.6
10401,"all","8-9","Year 3",2015,"Spelling",390.5,412.3
10401,"all","8-9","Year 3",2016,"Spelling",396.3,423.79
10401,"all","8-9","Year 3",2017,"Spelling",390.2,419.2
10401,"all","8-9","Year 3",2018,"Spelling",395.3,420.08
10401,"all","8-9","Year 3",2019,"Spelling",385.6,420.44
10401,"all","8-9","Year 3",2021,"Spelling",393.5,424.91
10402,"all","8-9","Year 3",2008,"Spelling",401,414.41
10402,"all","8-9","Year 3",2009,"Spelling",397.3,419.13
10402,"all","8-9","Year 3",2010,"Spelling",390.1,409.01
10402,"all","8-9","Year 3",2011,"Spelling",393,415.98
10402,"all","8-9","Year 3",2012,"Spelling",403.6,422.1
10402,"all","8-9","Year 3",2013,"Spelling",401.2,416.72
10402,"all","8-9","Year 3",2014,"Spelling",400.8,417.6
10402,"all","8-9","Year 3",2015,"Spelling",393.1,412.3
10402,"all","8-9","Year 3",2016,"Spelling",400.8,423.79
10402,"all","8-9","Year 3",2017,"Spelling",393.8,419.2
10402,"all","8-9","Year 3",2018,"Spelling",397.3,420.08
10402,"all","8-9","Year 3",2019,"Spelling",400.8,420.44
10402,"all","8-9","Year 3",2021,"Spelling",405.3,424.91
10501,"all","8-9","Year 3",2008,"Spelling",367.9,414.41
10501,"all","8-9","Year 3",2009,"Spelling",367.2,419.13
10501,"all","8-9","Year 3",2010,"Spelling",358.1,409.01
10501,"all","8-9","Year 3",2011,"Spelling",372.8,415.98
10501,"all","8-9","Year 3",2012,"Spelling",366.2,422.1
10501,"all","8-9","Year 3",2013,"Spelling",363.4,416.72
10501,"all","8-9","Year 3",2014,"Spelling",358.8,417.6
10501,"all","8-9","Year 3",2015,"Spelling",361.9,412.3
10501,"all","8-9","Year 3",2016,"Spelling",371.3,423.79
10501,"all","8-9","Year 3",2017,"Spelling",372.1,419.2
10501,"all","8-9","Year 3",2018,"Spelling",378.1,420.08
10501,"all","8-9","Year 3",2019,"Spelling",380.5,420.44
10501,"all","8-9","Year 3",2021,"Spelling",366.3,424.91
10502,"all","8-9","Year 3",2008,"Spelling",383.5,414.41
10502,"all","8-9","Year 3",2009,"Spelling",390,419.13
10502,"all","8-9","Year 3",2010,"Spelling",379.1,409.01
10502,"all","8-9","Year 3",2011,"Spelling",365,415.98
10502,"all","8-9","Year 3",2012,"Spelling",394.4,422.1
10502,"all","8-9","Year 3",2013,"Spelling",377.5,416.72
10502,"all","8-9","Year 3",2014,"Spelling",390.1,417.6
10502,"all","8-9","Year 3",2015,"Spelling",376.3,412.3
10502,"all","8-9","Year 3",2016,"Spelling",382.6,423.79
10502,"all","8-9","Year 3",2017,"Spelling",374.6,419.2
10502,"all","8-9","Year 3",2018,"Spelling",379.3,420.08
10502,"all","8-9","Year 3",2019,"Spelling",384.8,420.44
10502,"all","8-9","Year 3",2021,"Spelling",374.3,424.91
10503,"all","8-9","Year 3",2008,"Spelling",397.6,414.41
10503,"all","8-9","Year 3",2009,"Spelling",400.5,419.13
10503,"all","8-9","Year 3",2010,"Spelling",385.8,409.01
10503,"all","8-9","Year 3",2011,"Spelling",392.4,415.98
10503,"all","8-9","Year 3",2012,"Spelling",399.5,422.1
10503,"all","8-9","Year 3",2013,"Spelling",395.1,416.72
10503,"all","8-9","Year 3",2014,"Spelling",392.3,417.6
10503,"all","8-9","Year 3",2015,"Spelling",389.3,412.3
10503,"all","8-9","Year 3",2016,"Spelling",398.1,423.79
10503,"all","8-9","Year 3",2017,"Spelling",402,419.2
10503,"all","8-9","Year 3",2018,"Spelling",396.5,420.08
10503,"all","8-9","Year 3",2019,"Spelling",393.9,420.44
10503,"all","8-9","Year 3",2021,"Spelling",390.9,424.91
10601,"all","8-9","Year 3",2008,"Spelling",389.8,414.41
10601,"all","8-9","Year 3",2009,"Spelling",398.7,419.13
10601,"all","8-9","Year 3",2010,"Spelling",380.8,409.01
10601,"all","8-9","Year 3",2011,"Spelling",384.3,415.98
10601,"all","8-9","Year 3",2012,"Spelling",391.5,422.1
10601,"all","8-9","Year 3",2013,"Spelling",394.1,416.72
10601,"all","8-9","Year 3",2014,"Spelling",386.9,417.6
10601,"all","8-9","Year 3",2015,"Spelling",381,412.3
10601,"all","8-9","Year 3",2016,"Spelling",396.5,423.79
10601,"all","8-9","Year 3",2017,"Spelling",383.3,419.2
10601,"all","8-9","Year 3",2018,"Spelling",387.8,420.08
10601,"all","8-9","Year 3",2019,"Spelling",391.6,420.44
10601,"all","8-9","Year 3",2021,"Spelling",394.1,424.91
10602,"all","8-9","Year 3",2008,"Spelling",397.2,414.41
10602,"all","8-9","Year 3",2009,"Spelling",398.9,419.13
10602,"all","8-9","Year 3",2010,"Spelling",396.9,409.01
10602,"all","8-9","Year 3",2011,"Spelling",401.9,415.98
10602,"all","8-9","Year 3",2012,"Spelling",405.4,422.1
10602,"all","8-9","Year 3",2013,"Spelling",396.4,416.72
10602,"all","8-9","Year 3",2014,"Spelling",398.9,417.6
10602,"all","8-9","Year 3",2015,"Spelling",385.1,412.3
10602,"all","8-9","Year 3",2016,"Spelling",399.4,423.79
10602,"all","8-9","Year 3",2017,"Spelling",394.7,419.2
10602,"all","8-9","Year 3",2018,"Spelling",400.8,420.08
10602,"all","8-9","Year 3",2019,"Spelling",405.4,420.44
10602,"all","8-9","Year 3",2021,"Spelling",403.7,424.91
10603,"all","8-9","Year 3",2008,"Spelling",398.4,414.41
10603,"all","8-9","Year 3",2009,"Spelling",395.3,419.13
10603,"all","8-9","Year 3",2010,"Spelling",385.2,409.01
10603,"all","8-9","Year 3",2011,"Spelling",400.8,415.98
10603,"all","8-9","Year 3",2012,"Spelling",407.4,422.1
10603,"all","8-9","Year 3",2013,"Spelling",403.8,416.72
10603,"all","8-9","Year 3",2014,"Spelling",401.6,417.6
10603,"all","8-9","Year 3",2015,"Spelling",392.5,412.3
10603,"all","8-9","Year 3",2016,"Spelling",408.5,423.79
10603,"all","8-9","Year 3",2017,"Spelling",400.8,419.2
10603,"all","8-9","Year 3",2018,"Spelling",403.1,420.08
10603,"all","8-9","Year 3",2019,"Spelling",399.4,420.44
10603,"all","8-9","Year 3",2021,"Spelling",398,424.91
10604,"all","8-9","Year 3",2008,"Spelling",390.8,414.41
10604,"all","8-9","Year 3",2009,"Spelling",397.4,419.13
10604,"all","8-9","Year 3",2010,"Spelling",374.2,409.01
10604,"all","8-9","Year 3",2011,"Spelling",392.4,415.98
10604,"all","8-9","Year 3",2012,"Spelling",388.7,422.1
10604,"all","8-9","Year 3",2013,"Spelling",391.4,416.72
10604,"all","8-9","Year 3",2014,"Spelling",379,417.6
10604,"all","8-9","Year 3",2015,"Spelling",382.4,412.3
10604,"all","8-9","Year 3",2016,"Spelling",390.4,423.79
10604,"all","8-9","Year 3",2017,"Spelling",388.7,419.2
10604,"all","8-9","Year 3",2018,"Spelling",390.2,420.08
10604,"all","8-9","Year 3",2019,"Spelling",395.1,420.44
10604,"all","8-9","Year 3",2021,"Spelling",390.2,424.91
10701,"all","8-9","Year 3",2008,"Spelling",401,414.41
10701,"all","8-9","Year 3",2009,"Spelling",404,419.13
10701,"all","8-9","Year 3",2010,"Spelling",396.8,409.01
10701,"all","8-9","Year 3",2011,"Spelling",401.8,415.98
10701,"all","8-9","Year 3",2012,"Spelling",403.5,422.1
10701,"all","8-9","Year 3",2013,"Spelling",409.3,416.72
10701,"all","8-9","Year 3",2014,"Spelling",410.1,417.6
10701,"all","8-9","Year 3",2015,"Spelling",399.6,412.3
10701,"all","8-9","Year 3",2016,"Spelling",409.9,423.79
10701,"all","8-9","Year 3",2017,"Spelling",410.5,419.2
10701,"all","8-9","Year 3",2018,"Spelling",408.5,420.08
10701,"all","8-9","Year 3",2019,"Spelling",409.3,420.44
10701,"all","8-9","Year 3",2021,"Spelling",413,424.91
10703,"all","8-9","Year 3",2008,"Spelling",408.8,414.41
10703,"all","8-9","Year 3",2009,"Spelling",404.9,419.13
10703,"all","8-9","Year 3",2010,"Spelling",405.5,409.01
10703,"all","8-9","Year 3",2011,"Spelling",405.4,415.98
10703,"all","8-9","Year 3",2012,"Spelling",417.5,422.1
10703,"all","8-9","Year 3",2013,"Spelling",411.9,416.72
10703,"all","8-9","Year 3",2014,"Spelling",418.4,417.6
10703,"all","8-9","Year 3",2015,"Spelling",408.9,412.3
10703,"all","8-9","Year 3",2016,"Spelling",421.1,423.79
10703,"all","8-9","Year 3",2017,"Spelling",416.7,419.2
10703,"all","8-9","Year 3",2018,"Spelling",412.9,420.08
10703,"all","8-9","Year 3",2019,"Spelling",412.7,420.44
10703,"all","8-9","Year 3",2021,"Spelling",415.7,424.91
10704,"all","8-9","Year 3",2008,"Spelling",418.5,414.41
10704,"all","8-9","Year 3",2009,"Spelling",427,419.13
10704,"all","8-9","Year 3",2010,"Spelling",417.9,409.01
10704,"all","8-9","Year 3",2011,"Spelling",421.7,415.98
10704,"all","8-9","Year 3",2012,"Spelling",432.8,422.1
10704,"all","8-9","Year 3",2013,"Spelling",429.5,416.72
10704,"all","8-9","Year 3",2014,"Spelling",425.8,417.6
10704,"all","8-9","Year 3",2015,"Spelling",424.8,412.3
10704,"all","8-9","Year 3",2016,"Spelling",436.8,423.79
10704,"all","8-9","Year 3",2017,"Spelling",424.3,419.2
10704,"all","8-9","Year 3",2018,"Spelling",429.1,420.08
10704,"all","8-9","Year 3",2019,"Spelling",434.1,420.44
10704,"all","8-9","Year 3",2021,"Spelling",440.4,424.91
10801,"all","8-9","Year 3",2008,"Spelling",402.3,414.41
10801,"all","8-9","Year 3",2009,"Spelling",401.3,419.13
10801,"all","8-9","Year 3",2010,"Spelling",387.2,409.01
10801,"all","8-9","Year 3",2011,"Spelling",397.9,415.98
10801,"all","8-9","Year 3",2012,"Spelling",397.1,422.1
10801,"all","8-9","Year 3",2013,"Spelling",386.8,416.72
10801,"all","8-9","Year 3",2014,"Spelling",379.3,417.6
10801,"all","8-9","Year 3",2015,"Spelling",381.6,412.3
10801,"all","8-9","Year 3",2016,"Spelling",400.6,423.79
10801,"all","8-9","Year 3",2017,"Spelling",389.7,419.2
10801,"all","8-9","Year 3",2018,"Spelling",396.6,420.08
10801,"all","8-9","Year 3",2019,"Spelling",388.1,420.44
10801,"all","8-9","Year 3",2021,"Spelling",399.7,424.91
10802,"all","8-9","Year 3",2008,"Spelling",391.8,414.41
10802,"all","8-9","Year 3",2009,"Spelling",387.2,419.13
10802,"all","8-9","Year 3",2010,"Spelling",377.1,409.01
10802,"all","8-9","Year 3",2011,"Spelling",377.8,415.98
10802,"all","8-9","Year 3",2012,"Spelling",383.6,422.1
10802,"all","8-9","Year 3",2013,"Spelling",382.3,416.72
10802,"all","8-9","Year 3",2014,"Spelling",366.9,417.6
10802,"all","8-9","Year 3",2015,"Spelling",361.9,412.3
10802,"all","8-9","Year 3",2016,"Spelling",381.4,423.79
10802,"all","8-9","Year 3",2017,"Spelling",378.4,419.2
10802,"all","8-9","Year 3",2018,"Spelling",384.2,420.08
10802,"all","8-9","Year 3",2019,"Spelling",382.7,420.44
10802,"all","8-9","Year 3",2021,"Spelling",382.4,424.91
10803,"all","8-9","Year 3",2008,"Spelling",398.9,414.41
10803,"all","8-9","Year 3",2016,"Spelling",520.5,423.79
10803,"all","8-9","Year 3",2018,"Spelling",446.1,420.08
10803,"all","8-9","Year 3",2021,"Spelling",413.6,424.91
10804,"all","8-9","Year 3",2008,"Spelling",411.6,414.41
10804,"all","8-9","Year 3",2009,"Spelling",417.9,419.13
10804,"all","8-9","Year 3",2010,"Spelling",407.6,409.01
10804,"all","8-9","Year 3",2011,"Spelling",415.1,415.98
10804,"all","8-9","Year 3",2012,"Spelling",416,422.1
10804,"all","8-9","Year 3",2013,"Spelling",406.8,416.72
10804,"all","8-9","Year 3",2014,"Spelling",406.5,417.6
10804,"all","8-9","Year 3",2015,"Spelling",402,412.3
10804,"all","8-9","Year 3",2016,"Spelling",407.6,423.79
10804,"all","8-9","Year 3",2017,"Spelling",409,419.2
10804,"all","8-9","Year 3",2018,"Spelling",406.4,420.08
10804,"all","8-9","Year 3",2019,"Spelling",406.9,420.44
10804,"all","8-9","Year 3",2021,"Spelling",411.5,424.91
10805,"all","8-9","Year 3",2008,"Spelling",390.1,414.41
10805,"all","8-9","Year 3",2009,"Spelling",388.4,419.13
10805,"all","8-9","Year 3",2010,"Spelling",393.4,409.01
10805,"all","8-9","Year 3",2011,"Spelling",396.8,415.98
10805,"all","8-9","Year 3",2012,"Spelling",397.2,422.1
10805,"all","8-9","Year 3",2013,"Spelling",383.9,416.72
10805,"all","8-9","Year 3",2014,"Spelling",388.1,417.6
10805,"all","8-9","Year 3",2015,"Spelling",376.6,412.3
10805,"all","8-9","Year 3",2016,"Spelling",388.6,423.79
10805,"all","8-9","Year 3",2017,"Spelling",391.8,419.2
10805,"all","8-9","Year 3",2018,"Spelling",388.2,420.08
10805,"all","8-9","Year 3",2019,"Spelling",383.9,420.44
10805,"all","8-9","Year 3",2021,"Spelling",396.6,424.91
10901,"all","8-9","Year 3",2008,"Spelling",406.5,414.41
10901,"all","8-9","Year 3",2009,"Spelling",407.4,419.13
10901,"all","8-9","Year 3",2010,"Spelling",393.5,409.01
10901,"all","8-9","Year 3",2011,"Spelling",401.4,415.98
10901,"all","8-9","Year 3",2012,"Spelling",404,422.1
10901,"all","8-9","Year 3",2013,"Spelling",396.4,416.72
10901,"all","8-9","Year 3",2014,"Spelling",394.8,417.6
10901,"all","8-9","Year 3",2015,"Spelling",391.2,412.3
10901,"all","8-9","Year 3",2016,"Spelling",398.5,423.79
10901,"all","8-9","Year 3",2017,"Spelling",392.7,419.2
10901,"all","8-9","Year 3",2018,"Spelling",400.4,420.08
10901,"all","8-9","Year 3",2019,"Spelling",403.6,420.44
10901,"all","8-9","Year 3",2021,"Spelling",405.4,424.91
10902,"all","8-9","Year 3",2008,"Spelling",378.8,414.41
10902,"all","8-9","Year 3",2009,"Spelling",369.5,419.13
10902,"all","8-9","Year 3",2010,"Spelling",378,409.01
10902,"all","8-9","Year 3",2011,"Spelling",372.2,415.98
10902,"all","8-9","Year 3",2012,"Spelling",371.4,422.1
10902,"all","8-9","Year 3",2013,"Spelling",374.6,416.72
10902,"all","8-9","Year 3",2014,"Spelling",370.8,417.6
10902,"all","8-9","Year 3",2015,"Spelling",380.9,412.3
10902,"all","8-9","Year 3",2016,"Spelling",393.9,423.79
10902,"all","8-9","Year 3",2017,"Spelling",386.3,419.2
10902,"all","8-9","Year 3",2018,"Spelling",372.9,420.08
10902,"all","8-9","Year 3",2019,"Spelling",380.6,420.44
10902,"all","8-9","Year 3",2021,"Spelling",388.3,424.91
10903,"all","8-9","Year 3",2008,"Spelling",408.1,414.41
10903,"all","8-9","Year 3",2009,"Spelling",403.4,419.13
10903,"all","8-9","Year 3",2010,"Spelling",385.2,409.01
10903,"all","8-9","Year 3",2011,"Spelling",402.8,415.98
10903,"all","8-9","Year 3",2012,"Spelling",410.1,422.1
10903,"all","8-9","Year 3",2013,"Spelling",395.2,416.72
10903,"all","8-9","Year 3",2014,"Spelling",394.7,417.6
10903,"all","8-9","Year 3",2015,"Spelling",393.3,412.3
10903,"all","8-9","Year 3",2016,"Spelling",402.1,423.79
10903,"all","8-9","Year 3",2017,"Spelling",401.4,419.2
10903,"all","8-9","Year 3",2018,"Spelling",400.9,420.08
10903,"all","8-9","Year 3",2019,"Spelling",396.5,420.44
10903,"all","8-9","Year 3",2021,"Spelling",410.1,424.91
11001,"all","8-9","Year 3",2008,"Spelling",389.1,414.41
11001,"all","8-9","Year 3",2009,"Spelling",387.4,419.13
11001,"all","8-9","Year 3",2010,"Spelling",394.1,409.01
11001,"all","8-9","Year 3",2011,"Spelling",405.2,415.98
11001,"all","8-9","Year 3",2012,"Spelling",401.8,422.1
11001,"all","8-9","Year 3",2013,"Spelling",402,416.72
11001,"all","8-9","Year 3",2014,"Spelling",387.4,417.6
11001,"all","8-9","Year 3",2015,"Spelling",388,412.3
11001,"all","8-9","Year 3",2016,"Spelling",404.3,423.79
11001,"all","8-9","Year 3",2017,"Spelling",401.1,419.2
11001,"all","8-9","Year 3",2018,"Spelling",392.9,420.08
11001,"all","8-9","Year 3",2019,"Spelling",382.1,420.44
11001,"all","8-9","Year 3",2021,"Spelling",385.6,424.91
11002,"all","8-9","Year 3",2008,"Spelling",390.8,414.41
11002,"all","8-9","Year 3",2009,"Spelling",388.3,419.13
11002,"all","8-9","Year 3",2010,"Spelling",383.9,409.01
11002,"all","8-9","Year 3",2011,"Spelling",386.7,415.98
11002,"all","8-9","Year 3",2012,"Spelling",383.8,422.1
11002,"all","8-9","Year 3",2013,"Spelling",381.2,416.72
11002,"all","8-9","Year 3",2014,"Spelling",379,417.6
11002,"all","8-9","Year 3",2015,"Spelling",363.8,412.3
11002,"all","8-9","Year 3",2016,"Spelling",385.2,423.79
11002,"all","8-9","Year 3",2017,"Spelling",373.3,419.2
11002,"all","8-9","Year 3",2018,"Spelling",364,420.08
11002,"all","8-9","Year 3",2019,"Spelling",366.2,420.44
11002,"all","8-9","Year 3",2021,"Spelling",375.4,424.91
11003,"all","8-9","Year 3",2008,"Spelling",379.7,414.41
11003,"all","8-9","Year 3",2009,"Spelling",384.3,419.13
11003,"all","8-9","Year 3",2010,"Spelling",369.2,409.01
11003,"all","8-9","Year 3",2011,"Spelling",367.9,415.98
11003,"all","8-9","Year 3",2012,"Spelling",371,422.1
11003,"all","8-9","Year 3",2013,"Spelling",370.9,416.72
11003,"all","8-9","Year 3",2014,"Spelling",379.1,417.6
11003,"all","8-9","Year 3",2015,"Spelling",363.1,412.3
11003,"all","8-9","Year 3",2016,"Spelling",374.5,423.79
11003,"all","8-9","Year 3",2017,"Spelling",373.5,419.2
11003,"all","8-9","Year 3",2018,"Spelling",373.5,420.08
11003,"all","8-9","Year 3",2019,"Spelling",383.9,420.44
11003,"all","8-9","Year 3",2021,"Spelling",374.5,424.91
11004,"all","8-9","Year 3",2008,"Spelling",387.4,414.41
11004,"all","8-9","Year 3",2009,"Spelling",392.8,419.13
11004,"all","8-9","Year 3",2010,"Spelling",376.6,409.01
11004,"all","8-9","Year 3",2011,"Spelling",379.2,415.98
11004,"all","8-9","Year 3",2012,"Spelling",392,422.1
