"SA2_CODE16","sex","age_group","student_grade_level","calendar_year","domain","naplan_score_acara"
101021007,"all","14-15","Year 9",2008,"Numeracy",570.4
101021007,"all","14-15","Year 9",2009,"Numeracy",599.4
101021007,"all","14-15","Year 9",2010,"Numeracy",580.6
101021007,"all","14-15","Year 9",2011,"Numeracy",563
101021007,"all","14-15","Year 9",2012,"Numeracy",548.7
101021007,"all","14-15","Year 9",2013,"Numeracy",557.6
101021007,"all","14-15","Year 9",2014,"Numeracy",573.2
101021007,"all","14-15","Year 9",2015,"Numeracy",565.9
101021007,"all","14-15","Year 9",2016,"Numeracy",560.9
101021007,"all","14-15","Year 9",2017,"Numeracy",568.6
101021007,"all","14-15","Year 9",2018,"Numeracy",566.9
101021007,"all","14-15","Year 9",2019,"Numeracy",583.9
101021007,"all","14-15","Year 9",2021,"Numeracy",571.8
101021008,"all","14-15","Year 9",2008,"Numeracy",582.8
101021008,"all","14-15","Year 9",2009,"Numeracy",572.6
101021008,"all","14-15","Year 9",2010,"Numeracy",575.6
101021008,"all","14-15","Year 9",2011,"Numeracy",578.5
101021008,"all","14-15","Year 9",2012,"Numeracy",569.3
101021008,"all","14-15","Year 9",2013,"Numeracy",570
101021008,"all","14-15","Year 9",2014,"Numeracy",573.8
101021008,"all","14-15","Year 9",2015,"Numeracy",577.1
101021008,"all","14-15","Year 9",2016,"Numeracy",579.9
101021008,"all","14-15","Year 9",2017,"Numeracy",576.3
101021008,"all","14-15","Year 9",2018,"Numeracy",569.6
101021008,"all","14-15","Year 9",2019,"Numeracy",580
101021008,"all","14-15","Year 9",2021,"Numeracy",568.6
101021009,"all","14-15","Year 9",2008,"Numeracy",567.8
101021009,"all","14-15","Year 9",2009,"Numeracy",546.6
101021009,"all","14-15","Year 9",2010,"Numeracy",559.2
101021009,"all","14-15","Year 9",2011,"Numeracy",555.4
101021009,"all","14-15","Year 9",2012,"Numeracy",540.5
101021009,"all","14-15","Year 9",2013,"Numeracy",553.3
101021009,"all","14-15","Year 9",2014,"Numeracy",549.7
101021009,"all","14-15","Year 9",2015,"Numeracy",561.4
101021009,"all","14-15","Year 9",2016,"Numeracy",548.4
101021009,"all","14-15","Year 9",2017,"Numeracy",551.9
101021009,"all","14-15","Year 9",2018,"Numeracy",569.1
101021009,"all","14-15","Year 9",2019,"Numeracy",568.2
101021009,"all","14-15","Year 9",2021,"Numeracy",557
101021011,"all","14-15","Year 9",2021,"Numeracy",607.4
101031013,"all","14-15","Year 9",2008,"Numeracy",565.1
101031013,"all","14-15","Year 9",2009,"Numeracy",558.7
101031013,"all","14-15","Year 9",2010,"Numeracy",594.5
101031013,"all","14-15","Year 9",2011,"Numeracy",575.8
101031013,"all","14-15","Year 9",2012,"Numeracy",572.3
101031013,"all","14-15","Year 9",2013,"Numeracy",569.8
101031013,"all","14-15","Year 9",2014,"Numeracy",549.8
101031013,"all","14-15","Year 9",2015,"Numeracy",553.4
101031013,"all","14-15","Year 9",2016,"Numeracy",539.9
101031013,"all","14-15","Year 9",2017,"Numeracy",561.5
101031013,"all","14-15","Year 9",2018,"Numeracy",540.7
101031013,"all","14-15","Year 9",2019,"Numeracy",551.7
101031013,"all","14-15","Year 9",2021,"Numeracy",554.3
101031014,"all","14-15","Year 9",2008,"Numeracy",577.9
101031014,"all","14-15","Year 9",2009,"Numeracy",597.4
101031014,"all","14-15","Year 9",2010,"Numeracy",579.4
101031014,"all","14-15","Year 9",2011,"Numeracy",572.8
101031014,"all","14-15","Year 9",2012,"Numeracy",572
101031014,"all","14-15","Year 9",2013,"Numeracy",554.6
101031014,"all","14-15","Year 9",2014,"Numeracy",577.5
101031014,"all","14-15","Year 9",2015,"Numeracy",571.4
101031014,"all","14-15","Year 9",2016,"Numeracy",560.5
101031014,"all","14-15","Year 9",2017,"Numeracy",567.9
101031014,"all","14-15","Year 9",2018,"Numeracy",571.6
101031014,"all","14-15","Year 9",2019,"Numeracy",571.4
101031014,"all","14-15","Year 9",2021,"Numeracy",564.8
101031016,"all","14-15","Year 9",2008,"Numeracy",590.3
101031016,"all","14-15","Year 9",2009,"Numeracy",616.7
101031016,"all","14-15","Year 9",2010,"Numeracy",583.5
101031016,"all","14-15","Year 9",2011,"Numeracy",589.5
101031016,"all","14-15","Year 9",2012,"Numeracy",604
101031016,"all","14-15","Year 9",2013,"Numeracy",627.9
101031016,"all","14-15","Year 9",2014,"Numeracy",597.6
101031016,"all","14-15","Year 9",2015,"Numeracy",605.4
101031016,"all","14-15","Year 9",2016,"Numeracy",593
101031016,"all","14-15","Year 9",2017,"Numeracy",607.7
101031016,"all","14-15","Year 9",2018,"Numeracy",586.7
101031016,"all","14-15","Year 9",2019,"Numeracy",594.2
101031016,"all","14-15","Year 9",2021,"Numeracy",580.4
101041018,"all","14-15","Year 9",2008,"Numeracy",552
101041018,"all","14-15","Year 9",2009,"Numeracy",561.5
101041018,"all","14-15","Year 9",2010,"Numeracy",560.1
101041018,"all","14-15","Year 9",2011,"Numeracy",547.3
101041018,"all","14-15","Year 9",2012,"Numeracy",555.7
101041018,"all","14-15","Year 9",2013,"Numeracy",532
101041018,"all","14-15","Year 9",2014,"Numeracy",546.3
101041018,"all","14-15","Year 9",2015,"Numeracy",569.2
101041018,"all","14-15","Year 9",2016,"Numeracy",569.2
101041018,"all","14-15","Year 9",2017,"Numeracy",561.4
101041018,"all","14-15","Year 9",2018,"Numeracy",570
101041018,"all","14-15","Year 9",2019,"Numeracy",561.2
101041018,"all","14-15","Year 9",2021,"Numeracy",557
101041019,"all","14-15","Year 9",2008,"Numeracy",593.2
101041019,"all","14-15","Year 9",2009,"Numeracy",588.9
101041019,"all","14-15","Year 9",2010,"Numeracy",584.1
101041019,"all","14-15","Year 9",2011,"Numeracy",582.1
101041019,"all","14-15","Year 9",2012,"Numeracy",565.8
101041019,"all","14-15","Year 9",2013,"Numeracy",576.5
101041019,"all","14-15","Year 9",2014,"Numeracy",580.1
101041019,"all","14-15","Year 9",2015,"Numeracy",587.3
101041019,"all","14-15","Year 9",2016,"Numeracy",578.5
101041019,"all","14-15","Year 9",2017,"Numeracy",581.9
101041019,"all","14-15","Year 9",2018,"Numeracy",581
101041019,"all","14-15","Year 9",2019,"Numeracy",585.8
101041019,"all","14-15","Year 9",2021,"Numeracy",575.1
101041021,"all","14-15","Year 9",2008,"Numeracy",578.4
101041021,"all","14-15","Year 9",2009,"Numeracy",583.5
101041021,"all","14-15","Year 9",2010,"Numeracy",602.7
101041021,"all","14-15","Year 9",2011,"Numeracy",594.1
101041021,"all","14-15","Year 9",2012,"Numeracy",581.5
101041021,"all","14-15","Year 9",2013,"Numeracy",584.8
101041021,"all","14-15","Year 9",2014,"Numeracy",592.9
101041021,"all","14-15","Year 9",2015,"Numeracy",580.4
101041021,"all","14-15","Year 9",2016,"Numeracy",582.7
101041021,"all","14-15","Year 9",2017,"Numeracy",601.6
101041021,"all","14-15","Year 9",2018,"Numeracy",609.7
101041021,"all","14-15","Year 9",2019,"Numeracy",601.7
101041021,"all","14-15","Year 9",2021,"Numeracy",586.6
101041023,"all","14-15","Year 9",2008,"Numeracy",564
101041023,"all","14-15","Year 9",2009,"Numeracy",576.8
101041023,"all","14-15","Year 9",2010,"Numeracy",582.8
101041023,"all","14-15","Year 9",2011,"Numeracy",571.4
101041023,"all","14-15","Year 9",2012,"Numeracy",566.2
101041023,"all","14-15","Year 9",2013,"Numeracy",554.4
101041023,"all","14-15","Year 9",2014,"Numeracy",553.1
101041023,"all","14-15","Year 9",2015,"Numeracy",575
101041023,"all","14-15","Year 9",2016,"Numeracy",573.2
101041023,"all","14-15","Year 9",2017,"Numeracy",569
101041023,"all","14-15","Year 9",2018,"Numeracy",583.8
101041023,"all","14-15","Year 9",2019,"Numeracy",574.6
101041023,"all","14-15","Year 9",2021,"Numeracy",559
101041025,"all","14-15","Year 9",2008,"Numeracy",586
101041025,"all","14-15","Year 9",2009,"Numeracy",612.3
101041025,"all","14-15","Year 9",2010,"Numeracy",600.6
101041025,"all","14-15","Year 9",2011,"Numeracy",595.1
101041025,"all","14-15","Year 9",2012,"Numeracy",606.2
101041025,"all","14-15","Year 9",2013,"Numeracy",615.7
101041025,"all","14-15","Year 9",2014,"Numeracy",596
101041025,"all","14-15","Year 9",2015,"Numeracy",578.9
101041025,"all","14-15","Year 9",2016,"Numeracy",588.3
101041025,"all","14-15","Year 9",2017,"Numeracy",599.8
101041025,"all","14-15","Year 9",2018,"Numeracy",594.4
101041025,"all","14-15","Year 9",2019,"Numeracy",584.5
101041025,"all","14-15","Year 9",2021,"Numeracy",583.9
101041026,"all","14-15","Year 9",2008,"Numeracy",570
101041026,"all","14-15","Year 9",2009,"Numeracy",580.6
101041026,"all","14-15","Year 9",2010,"Numeracy",568.2
101041026,"all","14-15","Year 9",2011,"Numeracy",574.9
101041026,"all","14-15","Year 9",2012,"Numeracy",574.8
101041026,"all","14-15","Year 9",2013,"Numeracy",571.1
101041026,"all","14-15","Year 9",2014,"Numeracy",586.9
101041026,"all","14-15","Year 9",2015,"Numeracy",564.1
101041026,"all","14-15","Year 9",2016,"Numeracy",580
101041026,"all","14-15","Year 9",2017,"Numeracy",582.6
101041026,"all","14-15","Year 9",2018,"Numeracy",580.5
101041026,"all","14-15","Year 9",2019,"Numeracy",571
101041026,"all","14-15","Year 9",2021,"Numeracy",575
101041027,"all","14-15","Year 9",2008,"Numeracy",575.4
101041027,"all","14-15","Year 9",2009,"Numeracy",589.6
101041027,"all","14-15","Year 9",2010,"Numeracy",569.1
101041027,"all","14-15","Year 9",2011,"Numeracy",573.9
101041027,"all","14-15","Year 9",2012,"Numeracy",555.1
101041027,"all","14-15","Year 9",2013,"Numeracy",552.5
101041027,"all","14-15","Year 9",2014,"Numeracy",575.5
101041027,"all","14-15","Year 9",2015,"Numeracy",578.2
101041027,"all","14-15","Year 9",2016,"Numeracy",551.2
101041027,"all","14-15","Year 9",2017,"Numeracy",571.6
101041027,"all","14-15","Year 9",2018,"Numeracy",558.1
101041027,"all","14-15","Year 9",2019,"Numeracy",539.7
101041027,"all","14-15","Year 9",2021,"Numeracy",576
101051539,"all","14-15","Year 9",2008,"Numeracy",564.2
101051539,"all","14-15","Year 9",2009,"Numeracy",580.2
101051539,"all","14-15","Year 9",2010,"Numeracy",567.1
101051539,"all","14-15","Year 9",2011,"Numeracy",557.3
101051539,"all","14-15","Year 9",2012,"Numeracy",565.3
101051539,"all","14-15","Year 9",2013,"Numeracy",557.5
101051539,"all","14-15","Year 9",2014,"Numeracy",570.5
101051539,"all","14-15","Year 9",2015,"Numeracy",573.3
101051539,"all","14-15","Year 9",2016,"Numeracy",565.9
101051539,"all","14-15","Year 9",2017,"Numeracy",577.6
101051539,"all","14-15","Year 9",2018,"Numeracy",576.7
101051539,"all","14-15","Year 9",2019,"Numeracy",565.1
101051539,"all","14-15","Year 9",2021,"Numeracy",566.6
101051540,"all","14-15","Year 9",2008,"Numeracy",594
101051540,"all","14-15","Year 9",2009,"Numeracy",575.5
101051540,"all","14-15","Year 9",2010,"Numeracy",581.8
101051540,"all","14-15","Year 9",2011,"Numeracy",571.5
101051540,"all","14-15","Year 9",2012,"Numeracy",590.6
101051540,"all","14-15","Year 9",2013,"Numeracy",568.7
101051540,"all","14-15","Year 9",2014,"Numeracy",571.9
101051540,"all","14-15","Year 9",2015,"Numeracy",565.7
101051540,"all","14-15","Year 9",2016,"Numeracy",577.8
101051540,"all","14-15","Year 9",2017,"Numeracy",559.2
101051540,"all","14-15","Year 9",2018,"Numeracy",548.4
101051540,"all","14-15","Year 9",2019,"Numeracy",560.8
101051540,"all","14-15","Year 9",2021,"Numeracy",542.5
101061541,"all","14-15","Year 9",2008,"Numeracy",570.9
101061541,"all","14-15","Year 9",2009,"Numeracy",581.3
101061541,"all","14-15","Year 9",2010,"Numeracy",572
101061541,"all","14-15","Year 9",2011,"Numeracy",553.8
101061541,"all","14-15","Year 9",2012,"Numeracy",566.1
101061541,"all","14-15","Year 9",2013,"Numeracy",557.2
101061541,"all","14-15","Year 9",2014,"Numeracy",570.2
101061541,"all","14-15","Year 9",2015,"Numeracy",569.7
101061541,"all","14-15","Year 9",2016,"Numeracy",542.3
101061541,"all","14-15","Year 9",2017,"Numeracy",565.4
101061541,"all","14-15","Year 9",2018,"Numeracy",575.2
101061541,"all","14-15","Year 9",2019,"Numeracy",570.9
101061541,"all","14-15","Year 9",2021,"Numeracy",555.6
101061543,"all","14-15","Year 9",2008,"Numeracy",568.6
101061543,"all","14-15","Year 9",2009,"Numeracy",569.5
101061543,"all","14-15","Year 9",2010,"Numeracy",569.8
101061543,"all","14-15","Year 9",2011,"Numeracy",572.3
101061543,"all","14-15","Year 9",2012,"Numeracy",578.7
101061543,"all","14-15","Year 9",2013,"Numeracy",568
101061543,"all","14-15","Year 9",2014,"Numeracy",562.6
101061543,"all","14-15","Year 9",2015,"Numeracy",569.7
101061543,"all","14-15","Year 9",2016,"Numeracy",570.4
101061543,"all","14-15","Year 9",2017,"Numeracy",574
101061543,"all","14-15","Year 9",2018,"Numeracy",573.2
101061543,"all","14-15","Year 9",2019,"Numeracy",573.6
101061543,"all","14-15","Year 9",2021,"Numeracy",573.6
101061544,"all","14-15","Year 9",2008,"Numeracy",562.3
101061544,"all","14-15","Year 9",2009,"Numeracy",571.1
101061544,"all","14-15","Year 9",2010,"Numeracy",569.8
101061544,"all","14-15","Year 9",2011,"Numeracy",556.5
101061544,"all","14-15","Year 9",2012,"Numeracy",560.4
101061544,"all","14-15","Year 9",2013,"Numeracy",553.1
101061544,"all","14-15","Year 9",2014,"Numeracy",552.1
101061544,"all","14-15","Year 9",2015,"Numeracy",550.9
101061544,"all","14-15","Year 9",2016,"Numeracy",562.2
101061544,"all","14-15","Year 9",2017,"Numeracy",560.1
101061544,"all","14-15","Year 9",2018,"Numeracy",559
101061544,"all","14-15","Year 9",2019,"Numeracy",553.7
101061544,"all","14-15","Year 9",2021,"Numeracy",547.4
102011031,"all","14-15","Year 9",2008,"Numeracy",603.1
102011031,"all","14-15","Year 9",2009,"Numeracy",604.5
102011031,"all","14-15","Year 9",2010,"Numeracy",594.1
102011031,"all","14-15","Year 9",2011,"Numeracy",606.3
102011031,"all","14-15","Year 9",2012,"Numeracy",596.5
102011031,"all","14-15","Year 9",2013,"Numeracy",608.3
102011031,"all","14-15","Year 9",2014,"Numeracy",609.7
102011031,"all","14-15","Year 9",2015,"Numeracy",611
102011031,"all","14-15","Year 9",2016,"Numeracy",614.2
102011031,"all","14-15","Year 9",2017,"Numeracy",615.7
102011031,"all","14-15","Year 9",2018,"Numeracy",624
102011031,"all","14-15","Year 9",2019,"Numeracy",611
102011031,"all","14-15","Year 9",2021,"Numeracy",608.2
102011032,"all","14-15","Year 9",2008,"Numeracy",616.4
102011032,"all","14-15","Year 9",2009,"Numeracy",627.7
102011032,"all","14-15","Year 9",2010,"Numeracy",620.3
102011032,"all","14-15","Year 9",2011,"Numeracy",626.1
102011032,"all","14-15","Year 9",2012,"Numeracy",623.5
102011032,"all","14-15","Year 9",2013,"Numeracy",622.1
102011032,"all","14-15","Year 9",2014,"Numeracy",624.2
102011032,"all","14-15","Year 9",2015,"Numeracy",618.6
102011032,"all","14-15","Year 9",2016,"Numeracy",622.8
102011032,"all","14-15","Year 9",2017,"Numeracy",625.3
102011032,"all","14-15","Year 9",2018,"Numeracy",623
102011032,"all","14-15","Year 9",2019,"Numeracy",623.6
102011032,"all","14-15","Year 9",2021,"Numeracy",618.7
102011033,"all","14-15","Year 9",2011,"Numeracy",561.5
102011033,"all","14-15","Year 9",2012,"Numeracy",564.4
102011033,"all","14-15","Year 9",2013,"Numeracy",562.8
102011033,"all","14-15","Year 9",2014,"Numeracy",576.8
102011033,"all","14-15","Year 9",2015,"Numeracy",569
102011033,"all","14-15","Year 9",2016,"Numeracy",562.9
102011033,"all","14-15","Year 9",2017,"Numeracy",585.5
102011033,"all","14-15","Year 9",2018,"Numeracy",580.1
102011033,"all","14-15","Year 9",2019,"Numeracy",570
102011033,"all","14-15","Year 9",2021,"Numeracy",572.8
102011034,"all","14-15","Year 9",2008,"Numeracy",579.8
102011034,"all","14-15","Year 9",2009,"Numeracy",578.9
102011034,"all","14-15","Year 9",2010,"Numeracy",572
102011034,"all","14-15","Year 9",2011,"Numeracy",571.6
102011034,"all","14-15","Year 9",2012,"Numeracy",571.4
102011034,"all","14-15","Year 9",2013,"Numeracy",562.6
102011034,"all","14-15","Year 9",2014,"Numeracy",575.5
102011034,"all","14-15","Year 9",2015,"Numeracy",573.5
102011034,"all","14-15","Year 9",2016,"Numeracy",563.3
102011034,"all","14-15","Year 9",2017,"Numeracy",575.5
102011034,"all","14-15","Year 9",2018,"Numeracy",578
102011034,"all","14-15","Year 9",2019,"Numeracy",585.6
102011034,"all","14-15","Year 9",2021,"Numeracy",590.5
102011035,"all","14-15","Year 9",2008,"Numeracy",584
102011035,"all","14-15","Year 9",2009,"Numeracy",574.2
102011035,"all","14-15","Year 9",2010,"Numeracy",581.6
102011035,"all","14-15","Year 9",2011,"Numeracy",566.1
102011035,"all","14-15","Year 9",2012,"Numeracy",570.4
102011035,"all","14-15","Year 9",2013,"Numeracy",576.1
102011035,"all","14-15","Year 9",2014,"Numeracy",574.7
102011035,"all","14-15","Year 9",2015,"Numeracy",574.7
102011035,"all","14-15","Year 9",2016,"Numeracy",571.2
102011035,"all","14-15","Year 9",2017,"Numeracy",574.1
102011035,"all","14-15","Year 9",2018,"Numeracy",573.9
102011035,"all","14-15","Year 9",2019,"Numeracy",583.2
102011035,"all","14-15","Year 9",2021,"Numeracy",569.1
102011036,"all","14-15","Year 9",2008,"Numeracy",592
102011036,"all","14-15","Year 9",2009,"Numeracy",590.6
102011036,"all","14-15","Year 9",2010,"Numeracy",574.4
102011036,"all","14-15","Year 9",2011,"Numeracy",568.4
102011036,"all","14-15","Year 9",2012,"Numeracy",556.7
102011036,"all","14-15","Year 9",2013,"Numeracy",585.1
102011036,"all","14-15","Year 9",2014,"Numeracy",576.9
102011036,"all","14-15","Year 9",2015,"Numeracy",572.3
102011036,"all","14-15","Year 9",2016,"Numeracy",577.1
102011036,"all","14-15","Year 9",2017,"Numeracy",582
102011036,"all","14-15","Year 9",2018,"Numeracy",585.1
102011036,"all","14-15","Year 9",2019,"Numeracy",577.5
102011036,"all","14-15","Year 9",2021,"Numeracy",575.7
102011039,"all","14-15","Year 9",2008,"Numeracy",601.3
102011039,"all","14-15","Year 9",2009,"Numeracy",604.1
102011039,"all","14-15","Year 9",2010,"Numeracy",590.9
102011039,"all","14-15","Year 9",2011,"Numeracy",589.9
102011039,"all","14-15","Year 9",2012,"Numeracy",593.3
102011039,"all","14-15","Year 9",2013,"Numeracy",587.4
102011039,"all","14-15","Year 9",2014,"Numeracy",595.5
102011039,"all","14-15","Year 9",2015,"Numeracy",595.8
102011039,"all","14-15","Year 9",2016,"Numeracy",587.7
102011039,"all","14-15","Year 9",2017,"Numeracy",590.1
102011039,"all","14-15","Year 9",2018,"Numeracy",591.9
102011039,"all","14-15","Year 9",2019,"Numeracy",580.9
102011039,"all","14-15","Year 9",2021,"Numeracy",592.3
102011040,"all","14-15","Year 9",2008,"Numeracy",567
102011040,"all","14-15","Year 9",2009,"Numeracy",563.5
102011040,"all","14-15","Year 9",2010,"Numeracy",561.7
102011040,"all","14-15","Year 9",2011,"Numeracy",560
102011040,"all","14-15","Year 9",2012,"Numeracy",557.1
102011040,"all","14-15","Year 9",2013,"Numeracy",551.4
102011040,"all","14-15","Year 9",2014,"Numeracy",554.2
102011040,"all","14-15","Year 9",2015,"Numeracy",570.4
102011040,"all","14-15","Year 9",2016,"Numeracy",563.7
102011040,"all","14-15","Year 9",2017,"Numeracy",562.4
102011040,"all","14-15","Year 9",2018,"Numeracy",575.3
102011040,"all","14-15","Year 9",2019,"Numeracy",579.1
102011040,"all","14-15","Year 9",2021,"Numeracy",564.7
102011041,"all","14-15","Year 9",2008,"Numeracy",547.5
102011041,"all","14-15","Year 9",2009,"Numeracy",553.9
102011041,"all","14-15","Year 9",2010,"Numeracy",554.4
102011041,"all","14-15","Year 9",2011,"Numeracy",544
102011041,"all","14-15","Year 9",2012,"Numeracy",556.6
102011041,"all","14-15","Year 9",2013,"Numeracy",557.2
102011041,"all","14-15","Year 9",2014,"Numeracy",560.8
102011041,"all","14-15","Year 9",2015,"Numeracy",559.3
102011041,"all","14-15","Year 9",2016,"Numeracy",553.3
102011041,"all","14-15","Year 9",2017,"Numeracy",560.7
102011041,"all","14-15","Year 9",2018,"Numeracy",565.3
102011041,"all","14-15","Year 9",2019,"Numeracy",561.5
102011041,"all","14-15","Year 9",2021,"Numeracy",557.9
102021045,"all","14-15","Year 9",2008,"Numeracy",548.3
102021045,"all","14-15","Year 9",2009,"Numeracy",547.1
102021045,"all","14-15","Year 9",2010,"Numeracy",534.1
102021045,"all","14-15","Year 9",2011,"Numeracy",528.6
102021045,"all","14-15","Year 9",2012,"Numeracy",545.1
102021045,"all","14-15","Year 9",2013,"Numeracy",527.4
102021045,"all","14-15","Year 9",2014,"Numeracy",535.7
102021045,"all","14-15","Year 9",2015,"Numeracy",543.8
102021045,"all","14-15","Year 9",2016,"Numeracy",552.4
102021045,"all","14-15","Year 9",2017,"Numeracy",555.5
102021045,"all","14-15","Year 9",2018,"Numeracy",555.7
102021045,"all","14-15","Year 9",2019,"Numeracy",543.9
102021045,"all","14-15","Year 9",2021,"Numeracy",549.7
102021047,"all","14-15","Year 9",2008,"Numeracy",542
102021047,"all","14-15","Year 9",2009,"Numeracy",556.3
102021047,"all","14-15","Year 9",2010,"Numeracy",554.9
102021047,"all","14-15","Year 9",2011,"Numeracy",551.8
102021047,"all","14-15","Year 9",2012,"Numeracy",554.4
102021047,"all","14-15","Year 9",2013,"Numeracy",543
102021047,"all","14-15","Year 9",2014,"Numeracy",555.5
102021047,"all","14-15","Year 9",2015,"Numeracy",565.3
102021047,"all","14-15","Year 9",2016,"Numeracy",561.3
102021047,"all","14-15","Year 9",2017,"Numeracy",575.5
102021047,"all","14-15","Year 9",2018,"Numeracy",579.5
102021047,"all","14-15","Year 9",2019,"Numeracy",572.9
102021047,"all","14-15","Year 9",2021,"Numeracy",566.7
102021048,"all","14-15","Year 9",2008,"Numeracy",551.2
102021048,"all","14-15","Year 9",2009,"Numeracy",570.7
102021048,"all","14-15","Year 9",2010,"Numeracy",561.6
102021048,"all","14-15","Year 9",2011,"Numeracy",541.3
102021048,"all","14-15","Year 9",2012,"Numeracy",552.8
102021048,"all","14-15","Year 9",2013,"Numeracy",557.8
102021048,"all","14-15","Year 9",2014,"Numeracy",557.1
102021048,"all","14-15","Year 9",2015,"Numeracy",555.1
102021048,"all","14-15","Year 9",2016,"Numeracy",567.4
102021048,"all","14-15","Year 9",2017,"Numeracy",570.6
102021048,"all","14-15","Year 9",2018,"Numeracy",580.6
102021048,"all","14-15","Year 9",2019,"Numeracy",570.7
102021048,"all","14-15","Year 9",2021,"Numeracy",565.9
102021050,"all","14-15","Year 9",2008,"Numeracy",571
102021050,"all","14-15","Year 9",2009,"Numeracy",561.3
102021050,"all","14-15","Year 9",2010,"Numeracy",545.9
102021050,"all","14-15","Year 9",2011,"Numeracy",532.4
102021050,"all","14-15","Year 9",2012,"Numeracy",541.8
102021050,"all","14-15","Year 9",2013,"Numeracy",531.7
102021050,"all","14-15","Year 9",2014,"Numeracy",540.5
102021050,"all","14-15","Year 9",2015,"Numeracy",549.8
102021050,"all","14-15","Year 9",2016,"Numeracy",551.9
102021050,"all","14-15","Year 9",2017,"Numeracy",562.7
102021050,"all","14-15","Year 9",2018,"Numeracy",558.6
102021050,"all","14-15","Year 9",2019,"Numeracy",550.3
102021050,"all","14-15","Year 9",2021,"Numeracy",555.7
102021051,"all","14-15","Year 9",2008,"Numeracy",552
102021051,"all","14-15","Year 9",2009,"Numeracy",492.4
102021051,"all","14-15","Year 9",2010,"Numeracy",560.2
102021051,"all","14-15","Year 9",2017,"Numeracy",610.3
102021051,"all","14-15","Year 9",2018,"Numeracy",573.6
102021051,"all","14-15","Year 9",2019,"Numeracy",613.5
102021051,"all","14-15","Year 9",2021,"Numeracy",573.6
102021053,"all","14-15","Year 9",2009,"Numeracy",535.1
102021053,"all","14-15","Year 9",2010,"Numeracy",499.7
102021053,"all","14-15","Year 9",2014,"Numeracy",511.5
102021055,"all","14-15","Year 9",2008,"Numeracy",583
102021055,"all","14-15","Year 9",2009,"Numeracy",594.7
102021055,"all","14-15","Year 9",2010,"Numeracy",590.8
102021055,"all","14-15","Year 9",2011,"Numeracy",590.5
102021055,"all","14-15","Year 9",2012,"Numeracy",583.4
102021055,"all","14-15","Year 9",2013,"Numeracy",596.8
102021055,"all","14-15","Year 9",2014,"Numeracy",585.5
102021055,"all","14-15","Year 9",2015,"Numeracy",582.2
102021055,"all","14-15","Year 9",2016,"Numeracy",584.7
102021055,"all","14-15","Year 9",2017,"Numeracy",583.5
102021055,"all","14-15","Year 9",2018,"Numeracy",587.6
102021055,"all","14-15","Year 9",2019,"Numeracy",592.1
102021055,"all","14-15","Year 9",2021,"Numeracy",584.2
102021056,"all","14-15","Year 9",2008,"Numeracy",573.4
102021056,"all","14-15","Year 9",2009,"Numeracy",578.4
102021056,"all","14-15","Year 9",2010,"Numeracy",577.6
102021056,"all","14-15","Year 9",2011,"Numeracy",569.1
102021056,"all","14-15","Year 9",2012,"Numeracy",570.1
102021056,"all","14-15","Year 9",2013,"Numeracy",574.7
102021056,"all","14-15","Year 9",2014,"Numeracy",575.4
102021056,"all","14-15","Year 9",2015,"Numeracy",578.4
102021056,"all","14-15","Year 9",2016,"Numeracy",576.1
102021056,"all","14-15","Year 9",2017,"Numeracy",574.3
102021056,"all","14-15","Year 9",2018,"Numeracy",574.6
102021056,"all","14-15","Year 9",2019,"Numeracy",583.6
102021056,"all","14-15","Year 9",2021,"Numeracy",575.8
102021057,"all","14-15","Year 9",2008,"Numeracy",553.1
102021057,"all","14-15","Year 9",2009,"Numeracy",552.2
102021057,"all","14-15","Year 9",2010,"Numeracy",568.3
102021057,"all","14-15","Year 9",2011,"Numeracy",564
102021057,"all","14-15","Year 9",2012,"Numeracy",558.4
102021057,"all","14-15","Year 9",2013,"Numeracy",552.4
102021057,"all","14-15","Year 9",2014,"Numeracy",581.2
102021057,"all","14-15","Year 9",2015,"Numeracy",569.8
102021057,"all","14-15","Year 9",2016,"Numeracy",564.7
102021057,"all","14-15","Year 9",2017,"Numeracy",566.6
102021057,"all","14-15","Year 9",2018,"Numeracy",575.2
102021057,"all","14-15","Year 9",2019,"Numeracy",563.6
102021057,"all","14-15","Year 9",2021,"Numeracy",582.3
103011058,"all","14-15","Year 9",2008,"Numeracy",596.9
103011058,"all","14-15","Year 9",2009,"Numeracy",588.6
103011058,"all","14-15","Year 9",2010,"Numeracy",592.3
103011058,"all","14-15","Year 9",2011,"Numeracy",585
103011058,"all","14-15","Year 9",2012,"Numeracy",591.6
103011058,"all","14-15","Year 9",2013,"Numeracy",586.3
103011058,"all","14-15","Year 9",2014,"Numeracy",589.1
103011058,"all","14-15","Year 9",2015,"Numeracy",591.3
103011058,"all","14-15","Year 9",2016,"Numeracy",587.9
103011058,"all","14-15","Year 9",2017,"Numeracy",588.1
103011058,"all","14-15","Year 9",2018,"Numeracy",596.9
103011058,"all","14-15","Year 9",2019,"Numeracy",590.9
103011058,"all","14-15","Year 9",2021,"Numeracy",581.9
103011059,"all","14-15","Year 9",2008,"Numeracy",571.9
103011059,"all","14-15","Year 9",2009,"Numeracy",581.7
103011059,"all","14-15","Year 9",2010,"Numeracy",575.5
103011059,"all","14-15","Year 9",2011,"Numeracy",567.4
103011059,"all","14-15","Year 9",2012,"Numeracy",565
